date,open,high,low,close,asset
2025-03-29,1.98035e-07,2.17687e-07,1.5554e-07,1.57898e-07,pochita/usd/ohlcv
2025-04-02,1.57698e-07,1.59057e-07,1.216e-07,1.27894e-07,pochita/usd/ohlcv
2025-04-06,1.27688e-07,1.27891e-07,1.12891e-07,1.16339e-07,pochita/usd/ohlcv
2025-04-10,1.1633e-07,1.26526e-07,9.3891e-08,1.24966e-07,pochita/usd/ohlcv
2025-04-14,1.25427e-07,1.27773e-07,1.16172e-07,1.217e-07,pochita/usd/ohlcv
2025-04-18,1.21988e-07,1.30638e-07,1.1431e-07,1.1431e-07,pochita/usd/ohlcv
2025-04-22,1.14441e-07,1.1493e-07,1.05834e-07,1.06346e-07,pochita/usd/ohlcv
2025-04-26,1.06346e-07,1.33428e-07,1.04792e-07,1.31608e-07,pochita/usd/ohlcv
2025-04-30,1.31468e-07,1.95057e-07,1.31468e-07,1.77078e-07,pochita/usd/ohlcv
2025-05-04,1.77552e-07,1.84648e-07,1.6039e-07,1.62181e-07,pochita/usd/ohlcv
2025-05-08,1.62116e-07,1.65798e-07,1.5638e-07,1.60081e-07,pochita/usd/ohlcv
2025-05-12,1.60057e-07,3.0617e-07,1.59921e-07,2.59483e-07,pochita/usd/ohlcv
2025-05-16,2.59965e-07,2.69986e-07,2.04171e-07,2.09071e-07,pochita/usd/ohlcv
2025-05-16,0.01839626,0.068267,0.01103577,0.01299364,goonc/usd/ohlcv
2025-05-08,0.00904233,0.01885069,0.00593506,0.01114635,urmom/usd/ohlcv
2025-05-12,0.01098227,0.01273709,0.00468671,0.00869265,urmom/usd/ohlcv
2025-05-16,0.00877718,0.00959724,0.00070716,0.00157638,urmom/usd/ohlcv
2025-05-16,0.00610106,0.01857687,0.0023681,0.0032339,noodle/usd/ohlcv
2025-03-05,0.00043517,0.00137835,0.00039702,0.00066926,kori/usd/ohlcv
2025-03-09,0.00068914,0.0008058,0.00025558,0.00029214,kori/usd/ohlcv
2025-03-13,0.00029303,0.00047115,0.00027269,0.00030835,kori/usd/ohlcv
2025-03-17,0.00029766,0.00029766,8.419e-05,8.553e-05,kori/usd/ohlcv
2025-03-21,8.593e-05,9.244e-05,3.335e-05,3.67e-05,kori/usd/ohlcv
2025-03-25,3.647e-05,0.00015321,3.647e-05,8.684e-05,kori/usd/ohlcv
2025-03-29,8.553e-05,0.00013191,6.792e-05,8.407e-05,kori/usd/ohlcv
2025-04-02,8.38e-05,8.963e-05,4.698e-05,4.716e-05,kori/usd/ohlcv
2025-04-06,4.687e-05,4.708e-05,3.111e-05,3.419e-05,kori/usd/ohlcv
2025-04-10,3.421e-05,3.46e-05,2.015e-05,2.618e-05,kori/usd/ohlcv
