date,open,high,low,price,token_address,returns,log_returns,sma_10,sma_50,ema_10,ema_50,volatility_10,volatility_50,rsi_14,macd,macd_signal,macd_histogram,momentum_1,momentum_5,momentum_10,return,log_return,macd_diff,bb_high,bb_low,bb_width,price_lag_1,price_lag_2,price_lag_3,volume_sma_10,volume_sma_50,action_label
2024-12-23,206.14,211.78,176.92,180.43,sol,-0.1210969847532758,-0.1290807227123089,213.69333333333336,213.69333333333336,213.4484355887265,222.89431535432752,,,18.875855657477913,-5.2724111636715065,-1.431741694406949,5.3133984253660685e-06,-24.859999999999985,-45.25,,-0.1210969847532758,-0.12908072271230894,-3.8406694692645575,249.33361516287124,178.05305150379547,33.35647516335361,205.29,219.46,214.13,,,0
2024-12-27,180.07,201.58,176.99,188.3,sol,0.0436180236102643,0.0426935447428996,210.06571428571428,210.06571428571428,208.8759927544126,221.53767553651076,,,27.681838110625222,-7.028421918257521,-2.551077739177064,8.593839881022139e-06,7.8700000000000045,-48.869999999999976,,0.043618023610264345,0.042693544742899665,-4.477344179080458,247.54369693784577,172.5877316335828,35.68215096839362,180.43,205.29,219.46,,,0
2024-12-31,187.55,197.0,183.03,190.7,sol,0.0127456186935739,0.0126650769432665,207.645,207.645,205.57126679906486,220.32835492723584,,,30.17117466072655,-8.132664852269244,-3.6673951617955,9.56470137424346e-06,2.3999999999999773,-23.430000000000007,,0.012745618693573935,0.012665076943266507,-4.465269690473743,244.9692588673908,170.32074113260921,35.950067535833554,188.3,180.43,205.29,,,0
2025-01-04,190.63,219.24,187.83,216.97,sol,0.1377556371263766,0.1290575825289071,208.68111111111114,208.68111111111114,207.6437637446894,220.1966547340109,,,50.32665515910225,-6.809519973192749,-4.29582012407495,9.73768479250664e-06,26.27000000000001,-2.490000000000009,,0.13775563712637662,0.12905758252890717,-2.513699849117799,244.3555307599849,173.00669146223737,34.19036774236755,190.7,188.3,180.43,,,0
2025-01-08,217.89,222.9,202.37,202.74,sol,-0.065585103931419,-0.0678347251810268,208.087,208.087,206.75217033656406,219.5120800385595,,,43.0739127340259,-6.830423330347145,-4.802740765329389,7.613476703018148e-06,-14.22999999999999,-2.549999999999983,,-0.06558510393141903,-0.0678347251810268,-2.0276825650177557,242.11793657247767,174.0560634275223,32.70837349039362,216.97,190.7,188.3,,,0
2025-01-12,202.22,202.91,183.04,187.95,sol,-0.0729505770938148,-0.0757483999440666,204.314,206.25636363636366,203.33359391173423,218.2743514095964,1.2989816981331346,,37.09090487894722,-7.948790082187799,-5.431950628701071,-4.625749860035001e-06,-14.79000000000002,7.519999999999982,-37.73000000000002,-0.0729505770938148,-0.07574839994406665,-2.5168394534867273,240.7073662846332,171.80536098809412,33.406002162442576,202.74,216.97,190.7,,,0
2025-01-16,187.99,205.84,174.38,205.84,sol,0.0951848895982974,0.0909231979633017,201.181,206.22166666666666,203.78930410960072,217.78672978569065,1.3737859640171965,,46.72959649558325,-7.307296339815821,-5.807019770924021,-1.2247454188148032e-05,17.890000000000015,17.539999999999992,-31.329999999999984,0.0951848895982974,0.09092319796330171,-1.5002765688917998,239.20679344964097,173.23653988369236,31.989972068542077,187.95,202.74,216.97,,,0
2025-01-20,205.76,290.3,199.17,236.67,sol,0.1497765254566652,0.139567597801619,203.435,208.56384615384616,209.76761245330968,218.52725018625182,1.4725621530773811,,58.52343753661867,-4.2620542756803275,-5.498026671875283,-6.767471294965827e-06,30.829999999999984,45.97,22.539999999999992,0.1497765254566652,0.13956759780161906,1.2359723961949554,244.1678273819327,172.9598649257596,34.142045119194286,205.84,187.95,202.74,,,1
2025-01-24,236.62,271.04,232.73,253.87,sol,0.0726750327460177,0.0701555591998378,206.87599999999998,211.79999999999998,217.78622837088972,219.91324037502628,1.5026541510038345,,63.39283263193064,-0.45553067243253054,-4.489527471986733,-2.9149941553837272e-06,17.200000000000017,36.900000000000006,34.41,0.07267503274601772,0.07015555919983783,4.0339967995542025,253.2931016641837,170.30689833581627,39.18139911632078,236.67,205.84,187.95,,,1
2025-01-28,253.7,269.78,222.02,234.94,sol,-0.0745657226139363,-0.0774921625792058,209.84099999999998,213.34266666666664,220.90509593981884,220.50252506620174,1.519805849811743,,55.64930497655231,1.0218941525899083,-3.387243147071405,-2.594083258757517e-07,-18.930000000000007,32.19999999999999,29.650000000000006,-0.07456572261393635,-0.07749216257920587,4.409137299661314,255.05799875878301,171.62733457455028,39.106412930793375,253.87,236.67,205.84,,,1
